Code,count_total,count_valid,missing_rate,zero_rate_valid,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew,kurtosis_excess,iqr_outlier_rate,abs_z_gt_3_rate,annualized_volatility
24320,485,485,0.0,0.008247422680412371,0.0012223325445035896,0.02938637752604805,-0.1790212243795395,-0.07596204489469528,-0.03171767257153987,-0.011991899460554123,-0.00021689620916731656,0.014244061894714832,0.03816432803869243,0.09912479788064953,0.20772181451320648,0.7102083387381611,12.197178441932586,0.04742268041237113,0.018556701030927835,0.4664942812018839
29140,485,485,0.0,0.012371134020618556,0.0006718743892840215,0.015915666529031224,-0.18429797887802124,-0.03264589130878449,-0.01712336763739586,-0.00632751127704978,0.0006692694150842726,0.007460190448909998,0.019816151261329632,0.04580566838383663,0.08701137453317642,-2.4284521889090205,41.07144085977689,0.041237113402061855,0.01443298969072165,0.2526533735139071
33500,485,485,0.0,0.010309278350515464,0.00414383838903735,0.08557942998040237,-0.31015491485595703,-0.2523057645559311,-0.11448317021131516,-0.04716546833515167,-0.003072198946028948,0.04924793541431427,0.15052744150161734,0.22898519098758674,0.31015491485595703,0.04773743496675085,1.5617744082523402,0.03917525773195876,0.01443298969072165,1.3585313344248595
33820,485,485,0.0,0.01443298969072165,-0.00017885040385605402,0.022491414880913854,-0.12437129765748978,-0.07472565710544586,-0.02787969037890434,-0.009722125716507435,-0.00040924904169514775,0.008728361688554287,0.026775000989437064,0.05742366269230836,0.20468924939632416,0.9035006666613061,20.243198179191396,0.05154639175257732,0.018556701030927835,0.35704014245325283
40630,485,485,0.0,0.010309278350515464,0.0005802650781427558,0.024310232555844195,-0.1212301105260849,-0.08909917652606965,-0.036076512187719345,-0.009760142304003239,0.0006632033037021756,0.011884880252182484,0.036293905973434404,0.06679856210946979,0.12611597776412964,-0.25919770272202064,5.9893625176475975,0.07010309278350516,0.02268041237113402,0.38591297794145923
43850,485,485,0.0,0.010309278350515464,0.0017286050279226308,0.032262792320152535,-0.17438627779483795,-0.0719097277522087,-0.04389096945524216,-0.01660117134451866,0.0,0.017475174739956856,0.05000270605087278,0.10381985634565329,0.19041664898395538,0.6663421534676016,6.157293312805708,0.03917525773195876,0.018556701030927835,0.5121559504778891
45020,485,485,0.0,0.008247422680412371,0.0004208835822076431,0.013093604651460668,-0.07047780603170395,-0.03788279175758362,-0.020215669274330137,-0.005624944344162941,0.0009378663962706923,0.0076422966085374355,0.018764698877930638,0.02852165132760999,0.04570654407143593,-0.8205339333295327,4.256552102619527,0.03917525773195876,0.01443298969072165,0.2078545300389809
45190,485,485,0.0,0.004123711340206186,0.0010334017693596777,0.028199163799300788,-0.1945035606622696,-0.07621701210737228,-0.03615157753229141,-0.012090601958334446,0.00026451528538018465,0.016479559242725372,0.04023781493306155,0.058618116676807365,0.16164346039295197,-0.859648118693018,10.72823316490533,0.03505154639175258,0.01443298969072165,0.4476478475575512
45680,485,485,0.0,0.004123711340206186,-0.0014956563880088615,0.024875245633456743,-0.11106433719396591,-0.07618844002485275,-0.03851221054792404,-0.014742281287908554,-0.0017126224702224135,0.013187004253268242,0.03618279695510864,0.06243366494774796,0.10298793762922287,-0.19982762647791408,2.7340784877586097,0.04329896907216495,0.018556701030927835,0.3948822824866315
46610,485,485,0.0,0.006185567010309278,-0.0013354534935566221,0.01952121352280971,-0.11052246391773224,-0.05488096833229065,-0.02917686030268669,-0.011402101255953312,-0.0010962910018861294,0.008780154399573803,0.028744966164231278,0.043749278485774985,0.1057777926325798,-0.5678169200887563,6.5641101603298875,0.03917525773195876,0.010309278350515464,0.3098896576292737
