Code,observations,date_start,date_end,close_mean,close_median,volume_mean,volume_median,zero_volume_rate,return_observations,return_mean,return_std,return_skew,return_kurtosis_excess,return_p01,return_p05,return_median,return_p95,return_p99,abs_return_gt_10pct_rate
13010,486,2024-05-31,2026-05-29,4450.288065843622,4405.0,43487.24279835391,34450.0,0.0,485,0.00032989526052795107,0.015463966928700003,-0.2558402372298912,5.422016623317186,-0.04001197567912307,-0.02196967131835805,0.0,0.0219255160705039,0.03933701320832754,0.0
13050,486,2024-05-31,2026-05-29,3211.2397119341563,2985.0,195877.46913580247,106230.0,0.0,485,0.0007377772478003564,0.015025373951792063,-1.1235134949471515,13.246709990297509,-0.039564449029993225,-0.01923527920723078,0.0013236269305085813,0.02131063287677204,0.03491749794793555,0.002061855670103093
13060,486,2024-05-31,2026-05-29,317.7734567901234,295.29999999999995,19550758.374485597,15979950.0,0.0,485,0.0007180759033279374,0.014562483028345502,-1.0585207096333333,12.715201375429297,-0.036444389100626536,-0.01866276348614004,0.001332445233778401,0.01976630355741377,0.03275466182248466,0.002061855670103093
13080,486,2024-05-31,2026-05-29,3139.5411522633744,2918.0,414669.70164609054,219438.0,0.0,485,0.0007326346736956333,0.01520941815430642,-1.1620076722265757,14.684536060542099,-0.037502839781619314,-0.02118402356319642,0.0014250091474474758,0.020893075962508653,0.035287410139869343,0.002061855670103093
13090,486,2024-05-31,2026-05-29,46938.08641975309,45310.0,342.9732510288066,146.0,0.0,485,0.0005817587637786168,0.027134548082145275,6.5283396176816675,120.19680578964768,-0.0567235386703608,-0.021801616509226913,0.0,0.020899990536286585,0.042223223501543214,0.008247422680412371
130A0,486,2024-05-31,2026-05-29,725.312757201646,709.0,105173.25102880658,34450.0,0.0,485,-0.002100143465968193,0.04008394593228016,0.5629115320779449,5.795400952390853,-0.09874167589736668,-0.05966818940579763,-0.002721090114361502,0.05919080019280982,0.14513698090540458,0.030927835051546393
13110,486,2024-05-31,2026-05-29,1590.758230452675,1490.25,18150.617283950618,11615.0,0.0,485,0.0006561630575480196,0.016747172248005603,-0.7972074063510892,13.64733826281539,-0.043593801230762105,-0.02145949292746092,0.0010265184819280293,0.023586331957830657,0.03821997190966324,0.004123711340206186
13190,362,2024-05-31,2026-05-28,566.0779005524862,543.5999999999999,10856.353591160221,4000.0,0.0,361,0.001153509036422501,0.02165027679853402,0.19069252867723666,3.0855345819560145,-0.04559936118473775,-0.029728705367878305,0.0,0.03754803877929369,0.06627887019115603,0.002770083102493075
13200,486,2024-05-31,2026-05-29,45334.46502057613,40995.0,44317.33950617284,34525.5,0.0,485,0.001132253578989399,0.017266763724369576,-0.7563052726369177,12.546854143740353,-0.04444639886945325,-0.02430068541137515,0.0010070494305249866,0.025169345272047346,0.05004362221849737,0.002061855670103093
13210,486,2024-05-31,2026-05-29,45492.654320987655,41095.0,348507.1378600823,289880.5,0.0,485,0.0011231385573297272,0.01664543510368495,-0.7238762514127608,8.598086557383139,-0.04471099574013486,-0.02342643292873845,0.0011478861027018894,0.025141256373059653,0.05065334612538472,0.002061855670103093
13220,486,2024-05-31,2026-05-29,9332.798353909466,8834.5,1995.8189300411523,772.0,0.0,485,0.0008931179994202754,0.025933625877591765,0.22899407598768579,56.32083299127397,-0.047830173261010245,-0.023671750860769333,0.00011422696911189689,0.02445625958747642,0.059739154336839004,0.012371134020618556
13250,486,2024-05-31,2026-05-29,232.23395061728394,213.9,48099.71193415638,31935.0,0.0,485,0.000494835706639049,0.01701090106953404,-0.3239228420028075,2.752838025030992,-0.04845666367360543,-0.026658906518693647,0.0004795013278160454,0.027582754418433043,0.04663489715644384,0.0
13260,486,2024-05-31,2026-05-29,48330.74074074074,44130.0,21353.024691358023,14640.0,0.0,485,0.0013637472201078846,0.016158620963772297,-2.1125295919393707,19.860258020469608,-0.04164316291749991,-0.021849078300691712,0.0015957450194683531,0.024375406419936133,0.03865540648276291,0.004123711340206186
13280,486,2024-05-31,2026-05-29,12594.360082304527,11505.0,56496.45473251029,31464.0,0.0,485,0.0013097822347170563,0.01623155340864932,-1.9537630898530134,18.54764111941742,-0.040195081082048674,-0.021967038914845815,0.0014652017273277806,0.024106193339429493,0.03713333997942454,0.004123711340206186
13290,486,2024-05-31,2026-05-29,4549.253086419753,4131.0,563275.0452674897,417683.5,0.0,485,0.0011144142206716307,0.017597343228677634,-1.0852600927426101,16.410964217109694,-0.04477823437225908,-0.02505108926757273,0.0009551099102385052,0.025211164645154577,0.05178846883163381,0.002061855670103093
13300,486,2024-05-31,2026-05-29,45545.65843621399,41135.0,44762.707818930045,33760.5,0.0,485,0.0011257609963683617,0.016520953724486417,-0.3663631267745232,6.374139790842625,-0.04135795556975737,-0.024109922735603816,0.0012492194004334323,0.025781629637485856,0.04957692526983541,0.002061855670103093
13320,486,2024-05-31,2026-05-29,1014.8598765432099,921.75,1352120.1646090534,1225500.0,0.0,485,0.00084083832439264,0.017647020769878112,0.007479065724532479,7.017238767722915,-0.03940872653187046,-0.02664442611678428,0.001062636619268531,0.025034627772800442,0.05446566038418782,0.004123711340206186
13330,486,2024-05-31,2026-05-29,1135.9314814814813,1072.0,625659.8765432099,523000.0,0.0,485,0.00031158064584069955,0.015677746916662398,-0.6997347569218322,6.819204973804611,-0.04220360709259893,-0.02268358737125418,0.0002900933153835439,0.022397592142034198,0.03691931904844213,0.0
133A0,486,2024-05-31,2026-05-29,1029.4362139917696,1032.5,65079.62962962963,27774.0,0.0,485,1.3444844743168914e-05,0.007140765540211804,-0.9587244278317111,4.427050078973282,-0.020846303512637547,-0.012378957500536459,0.000928074312553484,0.010313236345183796,0.01764416269468733,0.0
13430,486,2024-05-31,2026-05-29,1953.4845679012346,1895.5,638247.5720164609,563270.0,0.0,485,8.269065634800405e-05,0.007074982800817633,-0.4454487813880682,3.322820376284267,-0.01986535504314219,-0.01121635760332804,0.0004719207260777125,0.010131804879962479,0.018811583348861207,0.0
13450,486,2024-05-31,2026-05-29,1836.19341563786,1781.25,64484.63991769547,41650.0,0.0,485,8.243941411902717e-05,0.007058060824976799,-0.23903407623982145,3.4174577012715828,-0.019641434753430716,-0.011032004295067033,0.0002746121121202094,0.009960286036426414,0.018539552345731368,0.0
